Player,Team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
DeanDKremerKremerP,BAL,0,0,9.00,1,0,0,0,0,0,2.0,3,2,2,1,0,2,3,2.50,.333
BrooksBKriskeKriskeP,CHC,0,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0,0,1,3,0.50,.000
MattMKrookKrookP,ATH,0,0,6.75,2,0,0,0,0,0,1.1,2,1,1,0,0,0,3,1.50,.333
SaurynSLaoLaoP,SEA,0,0,0.00,1,0,0,0,0,0,1.0,2,0,0,0,0,0,3,2.00,.400
EastonELucasLucasP,TOR,0,0,0.00,1,1,0,0,0,0,2.0,0,0,0,0,1,0,3,0.00,.000
NickNMartinezMartinezP,CIN,0,0,0.00,1,1,0,0,0,0,2.0,2,0,0,0,0,0,3,1.00,.286
QuinnQMathewsMathewsP,STL,0,0,0.00,1,1,0,0,0,0,2.0,2,0,0,0,0,1,3,1.50,.250
JuanJMejiaMejiaP,COL,0,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0,0,1,3,0.50,.000
CaseyCMizeMizeP,DET,0,0,0.00,1,1,0,0,0,0,2.0,2,0,0,0,0,0,3,1.00,.250
EliEMorganMorganP,CHC,0,0,4.50,2,0,0,0,0,0,2.0,1,1,1,1,0,0,3,0.50,.143
PatrickPMurphyMurphyP,TEX,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,1,3,1.00,.143
JackJNeelyNeelyP,CHC,0,0,4.50,2,0,0,0,0,0,2.0,2,1,1,1,0,1,3,1.50,.250
SeanSNewcombNewcombP,BOS,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,3,0.50,.143
RileyROBrienOBrienP,STL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,3,1.00,.000
DouglasDOrellanaOrellanaP,NYM,0,0,9.00,1,0,0,0,0,0,1.0,1,1,1,1,0,0,3,1.00,.250
EricEOrzeOrzeP,TB,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,1,3,1.00,.125
MichelMOtaezOtaezP,ATH,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,3,3,3.00,.000
BenBPeoplesPeoplesP,TB,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,2,3,3.00,.250
TylerTPhillipsPhillipsP,PHI,0,1,13.50,1,1,0,0,0,0,2.0,2,3,3,1,1,1,3,1.50,.250
RobbieRRayRayP,SF,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,1,0,3,0.50,.167
ColinCReaReaP,CHC,0,0,5.40,1,1,0,0,0,0,1.2,2,1,1,0,0,2,3,2.40,.286
DanielDRobertRobertP,TEX,0,0,16.20,2,0,0,0,0,0,1.2,4,3,3,1,0,2,3,3.60,.500
TekoahTRobyRobyP,STL,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,1,0,3,0.00,.000
BradgleyBRodriguezRodriguezP,SD,0,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0,0,0,3,0.00,.000
JoseJRodriguezRodriguezP,LAD,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,0,3,0.50,.143
JoJoJRomeroRomeroP,STL,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,2,3,3.00,.250
LandenLRouppRouppP,SF,1,0,0.00,1,1,0,0,0,0,2.0,0,0,0,0,0,1,3,0.50,.000
JPJSearsSearsP,ATH,0,0,0.00,1,1,0,0,0,0,2.0,0,0,0,0,0,0,3,0.00,.000
CristopherCSnchezSnchezP,PHI,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,3,0.50,.143
KaiWeiKTengTengP,SF,0,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0,0,0,3,0.00,.000
EdwinEUcetaUcetaP,TB,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,3,0.00,.000
LouisLVarlandVarlandP,MIN,1,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0,0,0,3,0.00,.000
WillWWarrenWarrenP,NYY,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,1,3,1.00,.143
JordanJWeemsWeemsP,ATL,0,0,4.50,2,0,0,0,0,0,2.0,1,1,1,0,0,3,3,2.00,.167
HaydenHWesneskiWesneskiP,HOU,0,0,4.50,1,0,0,0,0,0,2.0,2,1,1,1,0,1,3,1.50,.250
TylerTWoessnerWoessnerP,MIL,0,0,13.50,2,0,0,0,0,0,1.1,2,2,2,0,1,2,3,3.00,.333
SimeonSWoodsRichardsonWoodsRichardsonP,MIN,0,0,4.50,1,1,0,0,0,0,2.0,3,1,1,1,0,0,3,1.50,.333
JefryJYanYanP,COL,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,2,3,1.50,.167
StevenSZobacZobacP,KC,0,0,4.50,1,0,0,0,0,0,2.0,2,1,1,0,0,1,3,1.50,.250
GarrettGActonActonP,TB,0,0,9.00,1,0,0,0,0,0,1.0,1,1,1,1,0,0,2,1.00,.250
JoseJAcunaAcunaP,CIN,0,1,9.00,1,0,0,0,0,0,2.0,3,2,2,1,0,1,2,2.00,.429
MasonMAdamsAdamsP,CWS,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
RobbyRAhlstromAhlstromP,TEX,0,0,0.00,2,0,0,0,0,0,2.0,2,0,0,0,0,0,2,1.00,.250
JasonJAlexanderAlexanderP,ATH,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
SpencerSArrighettiArrighettiP,HOU,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,3,2,2.00,.143
LuinderLAvilaAvilaP,KC,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,1,2,0.50,.000
JordanJBalazovicBalazovicP,DET,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,1,2,1.00,.167
AndrewABashBashP,TOR,0,0,6.75,1,0,0,0,0,0,1.1,1,1,1,1,0,0,2,0.75,.200
BradyBBassoBassoP,ATH,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,2,0.00,.000
ValenteVBellozoBellozoP,MIA,0,0,0.00,1,1,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
AnthonyABenderBenderP,MIA,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
SamSBenschoterBenschoterP,CIN,0,0,9.00,1,0,0,0,0,0,1.0,1,1,1,0,1,0,2,1.00,.333
MasonMBlackBlackP,SF,0,1,27.00,1,1,0,0,0,0,1.1,4,4,4,1,1,2,2,4.50,.500
BradleyBBlalockBlalockP,COL,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,2,0.50,.143
JonathanJBowlanBowlanP,KC,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,2,1.00,.000
MatthewMBoydBoydP,CHC,0,0,0.00,1,1,0,0,0,0,2.0,2,0,0,0,0,2,2,2.00,.250
SeanSBoyleBoyleP,NYY,0,0,0.00,1,1,0,0,0,0,3.0,4,0,0,0,0,1,2,1.67,.364
CodyCBradfordBradfordP,TEX,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,2,0.50,.143
HuascarHBrazobnBrazobnP,NYM,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
AaronABrownBrownP,HOU,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,1,2,1.00,.143
BenBBrownBrownP,CHC,0,0,9.00,1,0,0,0,0,1,2.0,5,2,2,1,0,0,2,2.50,.455
KrisKBubicBubicP,KC,0,0,4.50,1,1,0,0,0,0,2.0,2,1,1,0,0,0,2,1.00,.250
RaymondRBurgosBurgosP,SF,0,0,4.50,2,0,0,0,0,0,2.0,3,1,1,1,0,0,2,1.50,.333
ChrisCCamposCamposP,LAD,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
SamSCarlsonCarlsonP,LAD,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,3,2,2.00,.143
SladeSCecconiCecconiP,CLE,0,0,4.50,1,0,0,0,0,0,2.0,2,1,1,1,0,1,2,1.50,.250
ChandlerCChamplainChamplainP,KC,0,0,20.25,1,1,0,0,0,0,1.1,2,3,3,0,2,1,2,2.25,.333
AngelAChivilliChivilliP,COL,0,0,0.00,2,0,0,0,0,0,2.0,0,0,0,0,0,0,2,0.00,.000
TylerTClevelandClevelandP,SEA,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,2,2,2.00,.000
AlexanderACornielleCornielleP,MIL,1,0,13.50,2,0,0,0,0,0,2.0,2,3,3,1,0,1,2,1.50,.250
JoshuaJCorniellyCorniellyP,NYM,0,0,0.00,1,0,0,0,0,0,1.2,1,0,0,0,0,0,2,0.60,.167
RyanRCosteiuCosteiuP,LAA,1,0,18.00,1,0,0,0,0,1,1.0,2,2,2,1,0,1,2,3.00,.400
AustinACoxCoxP,KC,1,0,18.00,2,0,0,0,0,1,2.0,4,4,4,1,0,2,2,3.00,.444
FernandoFCruzCruzP,NYY,0,1,27.00,1,0,0,0,0,0,1.0,3,3,3,1,0,0,2,3.00,.500
DuganDDarnellDarnellP,COL,1,0,4.50,2,0,0,0,0,1,2.0,2,1,1,0,0,2,2,2.00,.250
MichaelMDarrellHicksDarrellHicksP,LAA,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
JackJDashwoodDashwoodP,LAA,0,0,16.20,2,0,0,0,0,1,1.2,2,3,3,0,2,1,2,1.80,.286
AustinADavisDavisP,SD,0,1,16.20,2,0,0,0,0,0,1.2,1,3,3,0,0,3,2,2.40,.167
NoahNDavisDavisP,BOS,0,1,9.00,1,0,0,0,0,0,2.0,2,2,2,1,0,0,2,1.00,.250
TrentonTDenholmDenholmP,CLE,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
ChrisCDevenskiDevenskiP,NYM,0,1,9.00,1,0,0,0,0,0,1.0,1,1,1,1,0,0,2,1.00,.250
JakeJDiekmanDiekmanP,ATL,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
JackJDreyerDreyerP,LAD,0,0,4.50,2,0,0,0,0,0,2.0,2,1,1,1,0,1,2,1.50,.250
DaneDDunningDunningP,TEX,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,0,2,0.50,.143
CarlosCDuranDuranP,LAD,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
BrandonBEisertEisertP,CWS,0,0,9.00,2,0,0,0,0,0,2.0,3,2,2,0,0,0,2,1.50,.333
JoshJEknessEknessP,MIA,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,1,2,2.00,.250
BryceBElderElderP,ATL,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,0,2,0.50,.143
DietrichDEnnsEnnsP,DET,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,2,0.00,.000
JoseJEspadaEspadaP,SD,0,0,10.80,2,0,0,0,0,0,1.2,1,2,2,0,0,3,2,2.40,.167
LazaroLEstradaEstradaP,TOR,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,1,2,0.50,.000
JoseAJFerrerFerrerP,WSH,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
DavidDFestaFestaP,MIN,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,2,0.50,.143
