Player,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,Team
NolanNHoffmanHoffmanP,0,1,21.60,2,0,0,0,0,0,1.2,5,4,4,1.0,0.0,1,3,3.60,0.5,TEX
ClayCHolmesHolmesP,24,22,3.71,311,4,0,0,74,99,337.1,286,161,139,20.0,30.0,153,360,1.30,.226,NYM
DakotaDHudsonHudsonP,40,32,4.21,132,97,0,0,1,1,559.2,538,287,262,56.0,32.0,265,364,1.43,.257,LAA
BrantBHurterHurterP,6,1,2.58,10,1,0,0,0,0,45.1,34,13,13,4.0,0.0,6,38,0.88,.204,DET
JoeJJacquesJacquesP,2,1,5.46,25,1,0,0,1,1,29.2,38,20,18,3.0,7.0,11,22,1.65,.322,LAD
JaredJJonesJonesP,6,8,4.14,22,22,0,0,0,0,121.2,106,60,56,18.0,5.0,39,132,1.19,.232,PIT
JamesJKarinchakKarinchakP,12,11,3.10,174,0,0,0,15,27,165.2,98,64,57,18.0,6.0,98,253,1.18,.169,CWS
BradBKellerKellerP,38,57,4.34,166,116,2,1,2,5,720.1,727,375,347,71.0,27.0,318,538,1.45,.263,CHC
ZakZKentKentP,0,0,3.00,2,0,0,0,0,0,3.0,2,1,1,0.0,0.0,1,3,1.00,0.2,CLE
CalebCKilianKilianP,0,4,9.22,8,5,0,0,0,0,27.1,35,31,28,2.0,5.0,20,21,2.01,.318,CHC
WillWKleinKleinP,1,0,11.05,8,0,0,0,0,0,7.1,12,9,9,0.0,0.0,6,7,2.45,.387,SEA
JackJKochanowiczKochanowiczP,2,6,3.99,11,11,0,0,0,0,65.1,68,30,29,7.0,8.0,10,25,1.19,.275,LAA
DeanDKremerKremerP,30,30,4.28,95,94,1,1,0,0,500.0,482,261,238,73.0,14.0,177,436,1.32,.251,BAL
BrooksBKriskeKriskeP,2,1,11.22,20,0,0,0,0,1,21.2,23,28,27,10.0,1.0,17,25,1.85,.280,CHC
MattMKrookKrookP,0,0,23.40,5,0,0,0,0,0,5.0,9,14,13,2.0,0.0,7,5,3.20,.360,ATH
